id,"book",chapter,verse,"created_at","updated_at"
1001010,"Genesis",1,10,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001009,"Genesis",1,9,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001008,"Genesis",1,8,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001007,"Genesis",1,7,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001006,"Genesis",1,6,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001005,"Genesis",1,5,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001004,"Genesis",1,4,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001003,"Genesis",1,3,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001002,"Genesis",1,2,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001001,"Genesis",1,1,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001011,"Genesis",1,11,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001012,"Genesis",1,12,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001013,"Genesis",1,13,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001014,"Genesis",1,14,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001015,"Genesis",1,15,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001016,"Genesis",1,16,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001017,"Genesis",1,17,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001018,"Genesis",1,18,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001019,"Genesis",1,19,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001020,"Genesis",1,20,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001021,"Genesis",1,21,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001022,"Genesis",1,22,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001023,"Genesis",1,23,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001024,"Genesis",1,24,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001025,"Genesis",1,25,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001026,"Genesis",1,26,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001027,"Genesis",1,27,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001028,"Genesis",1,28,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001029,"Genesis",1,29,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001030,"Genesis",1,30,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1001031,"Genesis",1,31,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002001,"Genesis",2,1,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002002,"Genesis",2,2,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002003,"Genesis",2,3,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002004,"Genesis",2,4,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002005,"Genesis",2,5,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002006,"Genesis",2,6,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002007,"Genesis",2,7,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002008,"Genesis",2,8,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002009,"Genesis",2,9,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002010,"Genesis",2,10,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002011,"Genesis",2,11,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002012,"Genesis",2,12,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002013,"Genesis",2,13,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002014,"Genesis",2,14,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002015,"Genesis",2,15,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002016,"Genesis",2,16,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002017,"Genesis",2,17,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002018,"Genesis",2,18,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002019,"Genesis",2,19,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002020,"Genesis",2,20,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002021,"Genesis",2,21,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002022,"Genesis",2,22,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002023,"Genesis",2,23,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002024,"Genesis",2,24,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1002025,"Genesis",2,25,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003001,"Genesis",3,1,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003002,"Genesis",3,2,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003003,"Genesis",3,3,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003004,"Genesis",3,4,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003005,"Genesis",3,5,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003006,"Genesis",3,6,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003007,"Genesis",3,7,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003008,"Genesis",3,8,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003009,"Genesis",3,9,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003010,"Genesis",3,10,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003011,"Genesis",3,11,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003012,"Genesis",3,12,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003013,"Genesis",3,13,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003014,"Genesis",3,14,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003015,"Genesis",3,15,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003016,"Genesis",3,16,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003017,"Genesis",3,17,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003018,"Genesis",3,18,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003019,"Genesis",3,19,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003020,"Genesis",3,20,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003021,"Genesis",3,21,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003022,"Genesis",3,22,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003023,"Genesis",3,23,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1003024,"Genesis",3,24,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004001,"Genesis",4,1,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004002,"Genesis",4,2,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004003,"Genesis",4,3,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004004,"Genesis",4,4,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004005,"Genesis",4,5,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004006,"Genesis",4,6,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004007,"Genesis",4,7,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004008,"Genesis",4,8,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004009,"Genesis",4,9,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004010,"Genesis",4,10,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004011,"Genesis",4,11,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004012,"Genesis",4,12,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004013,"Genesis",4,13,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004014,"Genesis",4,14,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004015,"Genesis",4,15,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004016,"Genesis",4,16,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004017,"Genesis",4,17,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004018,"Genesis",4,18,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004019,"Genesis",4,19,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004020,"Genesis",4,20,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004021,"Genesis",4,21,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004022,"Genesis",4,22,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004023,"Genesis",4,23,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004024,"Genesis",4,24,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004025,"Genesis",4,25,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1004026,"Genesis",4,26,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005001,"Genesis",5,1,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005002,"Genesis",5,2,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005003,"Genesis",5,3,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005004,"Genesis",5,4,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005005,"Genesis",5,5,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005006,"Genesis",5,6,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005007,"Genesis",5,7,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005008,"Genesis",5,8,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005009,"Genesis",5,9,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005010,"Genesis",5,10,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005011,"Genesis",5,11,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005012,"Genesis",5,12,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005013,"Genesis",5,13,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005014,"Genesis",5,14,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005015,"Genesis",5,15,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005016,"Genesis",5,16,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005017,"Genesis",5,17,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005018,"Genesis",5,18,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005019,"Genesis",5,19,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005020,"Genesis",5,20,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005021,"Genesis",5,21,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005022,"Genesis",5,22,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005023,"Genesis",5,23,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005024,"Genesis",5,24,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005025,"Genesis",5,25,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005026,"Genesis",5,26,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005027,"Genesis",5,27,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005028,"Genesis",5,28,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005029,"Genesis",5,29,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005030,"Genesis",5,30,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005031,"Genesis",5,31,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1005032,"Genesis",5,32,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006001,"Genesis",6,1,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006002,"Genesis",6,2,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006003,"Genesis",6,3,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006004,"Genesis",6,4,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006005,"Genesis",6,5,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006006,"Genesis",6,6,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006007,"Genesis",6,7,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006008,"Genesis",6,8,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006009,"Genesis",6,9,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006010,"Genesis",6,10,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006011,"Genesis",6,11,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006012,"Genesis",6,12,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006013,"Genesis",6,13,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006014,"Genesis",6,14,"2016-06-03 00:59:34","2016-06-03 00:59:34"
1006015,"Genesis",6,15,"2016-06-03 00:59:34","2016-06-03 00:59:34"
